pull_request,number_of_additions,number_of_deletions,number_of_files_changed
16491,0,0,0
16469,0,0,0
15785,0,0,0
15138,0,0,0
14393,0,0,0
14217,0,0,0
13944,0,0,0
13713,0,0,0
13652,0,0,0
13416,0,0,0
13384,0,0,0
13287,0,0,0
13007,0,0,0
12987,0,0,0
12866,0,0,0
12671,0,0,0
12580,0,0,0
12439,0,0,0
12237,0,0,0
12003,0,0,0
12002,0,0,0
11942,0,0,0
11932,0,0,0
11812,0,0,0
11758,0,0,0
11669,0,0,0
11639,0,0,0
11580,0,0,0
11541,0,0,0
11506,0,0,0
11420,0,0,0
11412,0,0,0
11323,0,0,0
11246,0,0,0
11103,0,0,0
11078,0,0,0
11053,0,0,0
10874,0,0,0
10858,0,0,0
10851,0,0,0
10818,0,0,0
10778,0,0,0
10747,0,0,0
10552,0,0,0
10349,0,0,0
10296,0,0,0
10257,0,0,0
10256,0,0,0
10226,0,0,0
9948,0,0,0
9894,0,0,0
9802,0,0,0
9513,0,0,0
9283,0,0,0
9260,0,0,0
9029,0,0,0
8931,0,0,0
8897,0,0,0
8793,0,0,0
8751,0,0,0
8646,0,0,0
8623,0,0,0
8617,0,0,0
8555,0,0,0
8533,0,0,0
8497,0,0,0
8420,0,0,0
8419,0,0,0
8397,0,0,0
8158,0,0,0
8122,0,0,0
8121,0,0,0
8120,0,0,0
8092,0,0,0
8062,0,0,0
7896,0,0,0
7880,0,0,0
7879,0,0,0
7767,0,0,0
7638,0,0,0
7521,0,0,0
7411,0,0,0
7381,0,0,0
7368,0,0,0
7294,0,0,0
7237,0,0,0
7175,0,0,0
7170,0,0,0
7067,0,0,0
6776,0,0,0
6687,0,0,0
6570,0,0,0
6547,0,0,0
6433,0,0,0
6429,0,0,0
6248,0,0,0
6206,0,0,0
6202,0,0,0
6200,0,0,0
6167,0,0,0
6007,0,0,0
5762,0,0,0
5750,0,0,0
5733,0,0,0
5714,0,0,0
5678,0,0,0
5677,0,0,0
5567,0,0,0
5300,0,0,0
5217,0,0,0
5201,0,0,0
5110,0,0,0
5066,0,0,0
4901,0,0,0
4743,0,0,0
4535,0,0,0
4430,0,0,0
4405,0,0,0
4393,0,0,0
4322,0,0,0
4209,0,0,0
4119,0,0,0
4068,0,0,0
3968,0,0,0
3925,0,0,0
3916,0,0,0
3828,0,0,0
3822,0,0,0
3773,0,0,0
3619,0,0,0
3508,0,0,0
3499,0,0,0
3472,0,0,0
3243,0,0,0
3208,0,0,0
3186,0,0,0
3185,0,0,0
3169,0,0,0
3139,0,0,0
3116,0,0,0
3096,0,0,0
3049,0,0,0
3042,0,0,0
3022,0,0,0
3014,0,0,0
2996,0,0,0
2994,0,0,0
2992,0,0,0
2950,0,0,0
2927,0,0,0
2904,0,0,0
2784,0,0,0
2653,0,0,0
2630,0,0,0
2608,0,0,0
2602,0,0,0
2571,0,0,0
2561,0,0,0
2532,0,0,0
2508,0,0,0
2492,0,0,0
2399,0,0,0
2371,0,0,0
2364,0,0,0
2362,0,0,0
2295,0,0,0
2290,0,0,0
2284,0,0,0
2278,0,0,0
2269,0,0,0
2246,0,0,0
2243,0,0,0
2240,0,0,0
2198,0,0,0
2162,0,0,0
2133,0,0,0
2113,0,0,0
2074,0,0,0
2071,0,0,0
2006,0,0,0
1991,0,0,0
1978,0,0,0
1977,0,0,0
1972,0,0,0
1951,0,0,0
1941,0,0,0
1927,0,0,0
1457,0,0,0
1449,0,0,0
1309,0,0,0
1220,0,0,0
1218,0,0,0
773,0,0,0
742,0,0,0
718,0,0,0
658,0,0,0
655,0,0,0
639,0,0,0
542,0,0,0
347,0,0,0
293,0,0,0
