pull_request,number_of_additions,number_of_deletions,number_of_files_changed
11557,0,0,0
11545,0,0,0
11448,0,0,0
11379,0,0,0
11315,0,0,0
11231,0,0,0
11227,0,0,0
11167,0,0,0
11145,0,0,0
11048,0,0,0
10997,0,0,0
10922,0,0,0
10893,0,0,0
10874,0,0,0
10839,0,0,0
10810,0,0,0
10762,0,0,0
10676,0,0,0
10537,0,0,0
10505,0,0,0
10497,0,0,0
10487,0,0,0
10481,0,0,0
10472,0,0,0
10429,0,0,0
10008,0,0,0
10004,0,0,0
9975,0,0,0
9963,0,0,0
9947,0,0,0
9847,0,0,0
9755,0,0,0
9733,0,0,0
9721,0,0,0
9716,0,0,0
9667,0,0,0
9491,0,0,0
9408,0,0,0
9353,0,0,0
9310,0,0,0
9195,0,0,0
9158,0,0,0
9155,0,0,0
9151,0,0,0
9137,0,0,0
9136,0,0,0
9129,0,0,0
9126,0,0,0
9084,0,0,0
9041,0,0,0
9024,0,0,0
8840,0,0,0
8792,0,0,0
8760,0,0,0
8669,0,0,0
8626,0,0,0
8269,0,0,0
8259,0,0,0
8242,0,0,0
8177,0,0,0
7933,0,0,0
7925,0,0,0
7922,0,0,0
7921,0,0,0
7912,0,0,0
7910,0,0,0
7864,0,0,0
7823,0,0,0
7757,0,0,0
7740,0,0,0
7736,0,0,0
7658,0,0,0
7641,0,0,0
7608,0,0,0
7598,0,0,0
7592,0,0,0
7583,0,0,0
7563,0,0,0
7536,0,0,0
7486,0,0,0
7481,0,0,0
7479,0,0,0
7444,0,0,0
7437,0,0,0
7416,0,0,0
7362,0,0,0
7299,0,0,0
7296,0,0,0
7265,0,0,0
7068,0,0,0
7026,0,0,0
6989,0,0,0
6922,0,0,0
6913,0,0,0
6882,0,0,0
6861,0,0,0
6663,0,0,0
6601,0,0,0
6600,0,0,0
6572,0,0,0
6565,0,0,0
6557,0,0,0
6420,0,0,0
6418,0,0,0
6405,0,0,0
6403,0,0,0
6392,0,0,0
6390,0,0,0
6382,0,0,0
6379,0,0,0
6368,0,0,0
6356,0,0,0
6269,0,0,0
6221,0,0,0
6183,0,0,0
6150,0,0,0
6125,0,0,0
6105,0,0,0
6071,0,0,0
6070,0,0,0
6061,0,0,0
6043,0,0,0
5979,0,0,0
5978,0,0,0
5977,0,0,0
5963,0,0,0
5958,0,0,0
5957,0,0,0
5956,0,0,0
5954,0,0,0
5950,0,0,0
5907,0,0,0
5906,0,0,0
5870,0,0,0
5841,0,0,0
5839,0,0,0
5833,0,0,0
5734,0,0,0
5726,0,0,0
5720,0,0,0
5701,0,0,0
5689,0,0,0
5659,0,0,0
5658,0,0,0
5610,0,0,0
5608,0,0,0
5594,0,0,0
5589,0,0,0
5525,0,0,0
5522,0,0,0
5519,0,0,0
5518,0,0,0
5513,0,0,0
5500,0,0,0
5477,0,0,0
5471,0,0,0
5382,0,0,0
5379,0,0,0
5365,0,0,0
5357,0,0,0
5352,0,0,0
5298,0,0,0
5247,0,0,0
5192,0,0,0
5159,0,0,0
4986,0,0,0
4968,0,0,0
4923,0,0,0
4902,0,0,0
4901,0,0,0
4887,0,0,0
4821,0,0,0
4803,0,0,0
4752,0,0,0
4725,0,0,0
4723,0,0,0
4682,0,0,0
4666,0,0,0
4665,0,0,0
4646,0,0,0
4629,0,0,0
4607,0,0,0
4579,0,0,0
4566,0,0,0
4560,0,0,0
4547,0,0,0
4503,0,0,0
4471,0,0,0
4392,0,0,0
4356,0,0,0
4333,0,0,0
4320,0,0,0
4301,0,0,0
4291,0,0,0
4245,0,0,0
4235,0,0,0
4231,0,0,0
4221,0,0,0
4217,0,0,0
4211,0,0,0
4206,0,0,0
4204,0,0,0
4190,0,0,0
4186,0,0,0
4170,0,0,0
4166,0,0,0
4165,0,0,0
4161,0,0,0
4146,0,0,0
4138,0,0,0
4133,0,0,0
4116,0,0,0
4102,0,0,0
4089,0,0,0
4088,0,0,0
4064,0,0,0
4056,0,0,0
4054,0,0,0
4023,0,0,0
4018,0,0,0
4006,0,0,0
3955,0,0,0
3944,0,0,0
3920,0,0,0
3892,0,0,0
3867,0,0,0
3849,0,0,0
3672,0,0,0
3628,0,0,0
3612,0,0,0
3492,0,0,0
3450,0,0,0
3392,0,0,0
3385,0,0,0
3354,0,0,0
3308,0,0,0
3292,0,0,0
3282,0,0,0
3278,0,0,0
3256,0,0,0
3254,0,0,0
3231,0,0,0
3200,0,0,0
3188,0,0,0
3173,0,0,0
3158,0,0,0
3141,0,0,0
