pull_request,number_of_additions,number_of_deletions,number_of_files_changed
3916,0,0,0
3879,0,0,0
3860,0,0,0
3846,0,0,0
3822,0,0,0
3771,0,0,0
3767,0,0,0
3741,0,0,0
3698,0,0,0
3660,0,0,0
3648,0,0,0
3626,0,0,0
3625,0,0,0
3614,0,0,0
3608,0,0,0
3593,0,0,0
3572,0,0,0
3530,0,0,0
3509,0,0,0
3488,0,0,0
3487,0,0,0
3476,0,0,0
3473,0,0,0
3471,0,0,0
3454,0,0,0
3452,0,0,0
3447,0,0,0
3438,0,0,0
3423,0,0,0
3393,0,0,0
3352,0,0,0
3312,0,0,0
3311,0,0,0
3294,0,0,0
3280,0,0,0
3279,0,0,0
3277,0,0,0
3268,0,0,0
3266,0,0,0
3264,0,0,0
3259,0,0,0
3255,0,0,0
3223,0,0,0
3219,0,0,0
3218,0,0,0
3213,0,0,0
3198,0,0,0
3197,0,0,0
3195,0,0,0
3193,0,0,0
3189,0,0,0
3182,0,0,0
3176,0,0,0
3175,0,0,0
3174,0,0,0
3173,0,0,0
3152,0,0,0
3147,0,0,0
3142,0,0,0
3141,0,0,0
3126,0,0,0
3124,0,0,0
3113,0,0,0
3108,0,0,0
3105,0,0,0
3095,0,0,0
3076,0,0,0
3069,0,0,0
3054,0,0,0
3053,0,0,0
3052,0,0,0
3049,0,0,0
3048,0,0,0
3038,0,0,0
3037,0,0,0
3030,0,0,0
3029,0,0,0
3028,0,0,0
3019,0,0,0
3010,0,0,0
3009,0,0,0
3005,0,0,0
3001,0,0,0
2996,0,0,0
2986,0,0,0
2971,0,0,0
2964,0,0,0
2954,0,0,0
2951,0,0,0
2941,0,0,0
2938,0,0,0
2937,0,0,0
2935,0,0,0
2934,0,0,0
2927,0,0,0
2921,0,0,0
2920,0,0,0
2907,0,0,0
2870,0,0,0
2866,0,0,0
2845,0,0,0
2842,0,0,0
2838,0,0,0
2837,0,0,0
2831,0,0,0
2822,0,0,0
2797,0,0,0
2792,0,0,0
2776,0,0,0
2757,0,0,0
2749,0,0,0
2736,0,0,0
2731,0,0,0
2729,0,0,0
2728,0,0,0
2698,0,0,0
2689,0,0,0
2681,0,0,0
2680,0,0,0
2675,0,0,0
2648,0,0,0
2640,0,0,0
2622,0,0,0
2613,0,0,0
2610,0,0,0
2607,0,0,0
2604,0,0,0
2580,0,0,0
2560,0,0,0
2555,0,0,0
2539,0,0,0
2527,0,0,0
2510,0,0,0
2494,0,0,0
2493,0,0,0
2487,0,0,0
2449,0,0,0
2440,0,0,0
2439,0,0,0
2438,0,0,0
2432,0,0,0
2429,0,0,0
2426,0,0,0
2425,0,0,0
2413,0,0,0
2410,0,0,0
2393,0,0,0
2390,0,0,0
2387,0,0,0
2386,0,0,0
2383,0,0,0
2375,0,0,0
2368,0,0,0
2346,0,0,0
2339,0,0,0
2335,0,0,0
2333,0,0,0
2330,0,0,0
2322,0,0,0
2314,0,0,0
2312,0,0,0
2306,0,0,0
2301,0,0,0
2296,0,0,0
2291,0,0,0
2276,0,0,0
2274,0,0,0
2272,0,0,0
2270,0,0,0
2262,0,0,0
2261,0,0,0
2253,0,0,0
2247,0,0,0
2246,0,0,0
2242,0,0,0
2236,0,0,0
2218,0,0,0
2213,0,0,0
2209,0,0,0
2196,0,0,0
2192,0,0,0
2188,0,0,0
2178,0,0,0
2157,0,0,0
2145,0,0,0
2128,0,0,0
2123,0,0,0
2118,0,0,0
2112,0,0,0
2098,0,0,0
2079,0,0,0
2076,0,0,0
2075,0,0,0
2073,0,0,0
2072,0,0,0
2063,0,0,0
2047,0,0,0
2007,0,0,0
1995,0,0,0
1989,0,0,0
1978,0,0,0
1970,0,0,0
1959,0,0,0
1958,0,0,0
1938,0,0,0
1933,0,0,0
1899,0,0,0
1886,0,0,0
1875,0,0,0
1848,0,0,0
1782,0,0,0
1779,0,0,0
1758,0,0,0
1632,0,0,0
1620,0,0,0
1604,0,0,0
1570,0,0,0
1557,0,0,0
1545,0,0,0
1540,0,0,0
1530,0,0,0
1529,0,0,0
1525,0,0,0
1524,0,0,0
1523,0,0,0
1444,0,0,0
1418,0,0,0
1415,0,0,0
1394,0,0,0
1385,0,0,0
1375,0,0,0
1358,0,0,0
1339,0,0,0
1333,0,0,0
1331,0,0,0
1305,0,0,0
1303,0,0,0
1273,0,0,0
1268,0,0,0
1258,0,0,0
1244,0,0,0
1215,0,0,0
1200,0,0,0
1198,0,0,0
1188,0,0,0
1183,0,0,0
1156,0,0,0
1146,0,0,0
1141,0,0,0
1132,0,0,0
1123,0,0,0
1116,0,0,0
1104,0,0,0
1103,0,0,0
1102,0,0,0
1073,0,0,0
1068,0,0,0
1063,0,0,0
1056,0,0,0
1049,0,0,0
1046,0,0,0
1042,0,0,0
1008,0,0,0
1002,0,0,0
989,0,0,0
988,0,0,0
981,0,0,0
972,0,0,0
971,0,0,0
967,0,0,0
963,0,0,0
950,0,0,0
944,0,0,0
923,0,0,0
922,0,0,0
920,0,0,0
913,0,0,0
889,0,0,0
