pull_request,creator,creator_type,reviewer,reviewer_type,is_equal
16570,UziTech,Volunteers,50Wliu,Volunteers,No
16548,MoritzKn,Volunteers,daviwil,Employees,No
16546,as-cii,Employees,as-cii,Employees,Yes
16542,daviwil,Employees,daviwil,Employees,Yes
16533,jasonrudolph,Employees,jasonrudolph,Employees,Yes
16530,as-cii,Employees,as-cii,Employees,Yes
16524,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
16521,damieng,Employees,BinaryMuse,Employees,No
16518,as-cii,Employees,nathansobo,Employees,No
16515,as-cii,Employees,as-cii,Employees,Yes
16513,BinaryMuse,Employees,BinaryMuse,Employees,Yes
16512,nathansobo,Employees,nathansobo,Employees,Yes
16511,nathansobo,Employees,nathansobo,Employees,Yes
16500,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
16497,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
16495,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
16493,lee-dohm,Employees,lee-dohm,Employees,Yes
16492,jasonrudolph,Employees,jasonrudolph,Employees,Yes
16491,tobiasvl,Volunteers,50Wliu,Volunteers,No
16484,jasonrudolph,Employees,jasonrudolph,Employees,Yes
16473,lee-dohm,Employees,lee-dohm,Employees,Yes
16469,m1guelpf,Volunteers,jasonrudolph,Employees,No
16458,mortenpi,Volunteers,maxbrunsfeld,Employees,No
16456,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
16455,fordhurley,Volunteers,maxbrunsfeld,Employees,No
16451,lee-dohm,Employees,lee-dohm,Employees,Yes
16444,him2him2,Volunteers,50Wliu,Volunteers,No
16441,malept,Volunteers,lee-dohm,Employees,No
16421,daviwil,Employees,daviwil,Employees,Yes
16414,simurai,Employees,simurai,Employees,Yes
16397,segevfiner,Volunteers,BinaryMuse,Employees,No
16375,damieng,Employees,damieng,Employees,Yes
16354,50Wliu,Volunteers,50Wliu,Volunteers,Yes
16352,leroix,Volunteers,leroix,Volunteers,Yes
16341,GilTeixeira,Volunteers,50Wliu,Volunteers,No
16340,kant,Volunteers,jasonrudolph,Employees,No
16338,50Wliu,Volunteers,50Wliu,Volunteers,Yes
16337,50Wliu,Volunteers,50Wliu,Volunteers,Yes
16336,simurai,Employees,simurai,Employees,Yes
16328,50Wliu,Volunteers,50Wliu,Volunteers,Yes
16322,50Wliu,Volunteers,50Wliu,Volunteers,Yes
16319,leroix,Volunteers,leroix,Volunteers,Yes
16306,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
16299,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
16297,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
16295,xfontes42,Volunteers,ungb,Employees,No
16294,kuychaco,Employees,kuychaco,Employees,Yes
16290,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
16282,leroix,Volunteers,nathansobo,Employees,No
16256,50Wliu,Volunteers,50Wliu,Volunteers,Yes
16255,50Wliu,Volunteers,50Wliu,Volunteers,Yes
16245,50Wliu,Volunteers,50Wliu,Volunteers,Yes
16230,U8NWXD,Volunteers,lee-dohm,Employees,No
16229,50Wliu,Volunteers,50Wliu,Volunteers,Yes
16227,50Wliu,Volunteers,50Wliu,Volunteers,Yes
16223,U8NWXD,Volunteers,50Wliu,Volunteers,No
16221,U8NWXD,Volunteers,50Wliu,Volunteers,No
16215,BinaryMuse,Employees,BinaryMuse,Employees,Yes
16199,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
16197,U8NWXD,Volunteers,50Wliu,Volunteers,No
16192,50Wliu,Volunteers,50Wliu,Volunteers,Yes
