pull_request,number_of_commits,number_of_comments,number_of_reviews,user_type,user_login,closed_at,number_of_additions,number_of_deletions,number_of_files_changed,number_of_days,message
11610,1,0,0,Externals,nitsakh,2018-01-09 23:00:15,6,2,2,0,Test PR for @zcbenz .
11599,1,5,0,Externals,johev09,2018-01-08 14:02:31,1,1,1,0,"Tested on OS: Mac OS X 10.12.6

`browserWindow.setVisibleOnAllWorkspaces(boolean)` was not able to show app over Fullscreen app's workspaces. This commit fixes the function to do so. The change is inspired from [Helium](http://heliumfloats.com/) app's [code](https://github.com/JadenGeller/Helium/blob/b35a416376dee7184f788e6ae5736f19890d3ddc/Helium/Helium/HeliumPanelController.swift#L122)."
11596,15,1,0,Internals,zcbenz,2018-01-08 11:35:31,109,28,12,0,"Backports https://github.com/electron/electron/pull/11589 to 1.8.x.

Refs https://github.com/electron/libchromiumcontent/pull/431."
11543,1,2,0,Externals,Amandakita,2017-12-31 10:52:09,1,0,1,0,"function FeaturedPost(a){(function(e){var h={blogURL:"""",MaxPost:5,idcontaint:""#featuredpost"",ImageSize:500,interval:10000,autoplay:false,loadingClass:""loadingxx"",pBlank:""http://3.bp.blogspot.com/-v45kaX-IHKo/VDgZxWv0xUI/AAAAAAAAHAo/QJQf8Dlh3xc/s1600/grey.gif"",MonthNames:[""Jan"",""Feb"",""Mar"",""Apr"",""May"",""Jun"",""Jul"",""Aug"",""Sep"",""Oct"",""Nov"",""Dec""],tagName:false};h=e.extend({},h,a);var g=e(h.idcontaint);var c=h.blogURL;var d=h.MaxPost*200;if(h.blogURL===""""){c=window.location.protocol+""//""+window.location.host}g.html('<div id=""slides""><ul class=""randomnya""></ul></div><div id=""buttons""><a href=""#"" id=""prevx"" title=""prev""></a><a href=""#"" id=""nextx"" title=""next""></a></div>').addClass(h.loadingClass);var f=function(w){var q,k,m,u,x,p,t,v,r,l="""",s=w.feed.entry;for(var o=0;o<s.length;o++){for(var n=0;n<s[o].link.length;n++){if(s[o].link[n].rel==""alternate""){q=s[o].link[n].href;break}}if(""media$thumbnail""in s[o]){u=s[o].media$thumbnail.url.replace(/\/s[0-9]+\-c/g,""/s""+h.ImageSize+""-c"")}else{u=h.pBlank.replace(/\/s[0-9]+(\-c|\/)/,""/s""+h.ImageSize+""$1"")}k=s[o].title.$t;r=s[o].published.$t.substring(0,10);m=s[o].author[0].name.$t;x=r.substring(0,4);p=r.substring(5,7);t=r.substring(8,10);v=h.MonthNames[parseInt(p,10)-1];l+='<li><a target=""_blank"" href=""'+q+'"" title=""'+k+'""><div class=""overlayx""></div><img class=""random"" src=""'+u+'"" title=""'+k+'""><h4>'+k+'</h4></a><div class=""label_text""><span class=""date""><span class=""dd"">'+t+'</span> <span class=""dm"">'+v+'</span> <span class=""dy"">'+x+'</span></span> <span class=""autname"">'+m+""</span></div></li>""}e(""ul"",g).append(l)};var b=function(){var i=""/-/""+h.tagName;if(h.tagName===false){i="""";e.ajax({url:c+""/feeds/posts/default""+i+""?max-results=""+h.MaxPost+""&orderby=published&alt=json-in-script"",success:f,dataType:""jsonp"",cache:true})}else{e.ajax({url:c+""/feeds/posts/default""+i+""?max-results=""+h.MaxPost+""&orderby=published&alt=json-in-script"",success:f,dataType:""jsonp"",cache:true})}(function(){setTimeout(function(){e(""#prevx"").click(function(){e(""#slides li:first"").before(e(""#slides li:last""));return false});e(""#nextx"").click(function(){e(""#slides li:last"").after(e(""#slides li:first""));return false});if(h.autoplay){var k=h.interval;var l=setInterval(""rotate()"",k);e(""#slides li:first"").before(e(""#slides li:last""));e(""#slides"").hover(function(){clearInterval(l)},function(){l=setInterval(""rotate()"",k)});function j(){e(""#nextx"").click()}}g.removeClass(h.loadingClass)},d)})()};e(document).ready(b)})(jQuery)};function rotate(){$('#nextx').click();};document.write('')"
11516,1,1,0,Externals,leethomas,2017-12-25 16:10:13,10,3,3,0,"Addresses: https://github.com/electron/electron/issues/10699

Tested on Linux Mint but don't have access to a Windows box. Would someone be able to verify that this works on Windows as well, please?"
11477,250,1,0,Internals,ckerr,2017-12-19 15:52:58,3714,2911,303,0,Apply Felix's #11376 bugfix to `1-8-x`
11397,5,4,0,Externals,xdjinnx,2017-12-10 20:03:23,73,19,3,0,"I have implemented two new apis for the webview:
- setPermissionRequestHandler
- removePermissionRequestHandler

I implemented these because I were trying to handle a fullscreen event.
I had to dig around in the issue tracker to find that the session setPermissionRequestHandler could be used for this.

I decided to use an event object to allow and deny request because the chrome api already had an implementation of this.
https://developer.chrome.com/apps/tags/webview#event-permissionrequest

## Test instructions
I used this index.html to test blocking and allowing requests.
I also used this to remove the handler after adding it.

Test the fullscreen request by clicking on the fullscreen button.

``` html
<!DOCTYPE html>
<html>
  <head>
    <meta charset=""UTF-8"">
    <title>Hello World!</title>
  </head>
  <body>
    <h1>Hello World!</h1>
    <!-- All of the Node.js APIs are available in this renderer process. -->
    We are using Node.js <script>document.write(process.versions.node)</script>,
    Chromium <script>document.write(process.versions.chrome)</script>,
    and Electron <script>document.write(process.versions.electron)</script>.

    <webview id=""view"" src=""https://en.wikipedia.org/wiki/Cat#/media/File:Cat_poster_1.jpg"" style=""height: 600px;""></webview>

    <script>
      // You can also require other files to run in this process
      require('./renderer.js')

      window.onload = function () {
	      document.getElementById(""view"").setPermissionRequestHandler(function(e) {
		      e.request.allow();
	      })
      }
    </script>
  </body>
</html>

```"
11394,1,4,0,Externals,denysdovhan,2017-12-10 16:15:13,1,1,1,0,"Actually `action` works, not `actions`. It killed a lot of my time until I get that it's a mistake in docs. Hope it would help other developers."
11360,1,2,0,Externals,CommanderXL,2017-12-06 12:14:01,1,1,1,0,change 'ABI'  ->  'API'
11338,1,10,0,Externals,lzxb,2017-12-05 01:36:59,1,4,1,0,"```javascript
const callback = () => { }

const event = new Event()

event.addListener(callback)
event.addListener(callback)
event.removeListener(callback)

// Before
// event.listeners = [callback]

// Now
// event.listeners = []
```"
11308,1,2,0,Externals,slaweet,2017-12-01 15:32:25,2,2,1,0,"I was getting the following error when trying to build `Error: Exit code: ENOENT. spawn icns2png ENOENT`
This solution was proposed here: https://github.com/SimulatedGREG/electron-vue/issues/130#issuecomment-331993257"
11285,36,2,0,Externals,AdrienFery,2017-11-29 15:26:50,1313,47,53,0,"In order to release a commercial application on the Mac Apple Store, it must use in-app purchase (see [App Store Guidelines](https://developer.apple.com/app-store/review/guidelines/#in-app-purchase)). It is why I have added the in-app purchase feature for MacOS into Electron. I have tested the build and it works well but I didn't implement automatic tests.

Let me know if you see some modifications to do.

See [in-app-purchase.md](https://github.com/AdrienFery/electron/blob/in-app-purchase-macos/docs/api/in-app-purchase.md) for the module documentation.

<img width=""901"" alt=""screen shot"" src=""https://user-images.githubusercontent.com/8200795/33381878-7dec43d8-d51f-11e7-9d0d-7232c6dc707b.png"">
"
11252,1,0,0,Externals,alexeykuzmin,2017-11-24 22:49:03,1,1,1,0,Just to run CI builds for electron/libchromiumcontent#402.
11228,162,0,0,Internals,ckerr,2017-11-23 09:14:24,1377,694,169,0,"These are still rough notes and shouldn't be merged yet.

PRing them for collaborative editing"
11213,5,2,0,Externals,ssu2030,2017-11-22 07:02:49,108,3,4,0,"Adding some context : 
Show current version of Electron  
to help linux user."
11201,1,2,0,Externals,kstar0714,2017-11-21 16:47:50,0,0,0,0,
11200,250,2,0,Externals,kstar0714,2017-11-21 16:35:29,9855,50046,616,0, electron/electron-i18n/tree/master/content -> electron-i18n/content
11173,1,2,0,Externals,TiagoDanin,2017-11-19 16:41:32,0,0,0,0,Improve in Doc of Display API :)
11156,8,5,2,Externals,lipis,2017-11-17 23:14:11,2397,5072,122,0,More info #11143
11143,2,10,2,Externals,lipis,2017-11-17 00:58:30,2395,5072,122,0,"Prettier is now supporting Markdown since v1.8.0 and also formats the code inside the fences.

https://prettier.io

If something is actually breaking or it's wrong, please let me know as we can add a few ignore blocks in that case.
"
11129,2,2,0,Internals,jkleinsc,2017-11-15 16:34:06,184,1,2,0,This PR adds macOS builds for CircleCI
11119,1,4,0,Externals,oscarafuentes,2017-11-15 04:49:38,0,0,0,0,"[ci skip]

Electron Version: 1.7.8
OS Version: MacOS High Sierra Version 10.13.1 Beta

Was trying to import `net` module into `renderer.js`. It seems that the only attributes available from `require('electron')` are `['clipboard','crashReporter','nativeImage','shell','desktopCapturer','ipcRenderer','remote','screen','webFrame']`, none of which are `net`, which was misleading. I then found you could access built-in modules like this: https://github.com/electron/electron/blob/master/docs/api/remote.md#accessing-built-in-modules-in-the-main-process

![image](https://user-images.githubusercontent.com/19781463/32819134-8e5cfb44-c995-11e7-831a-d2e255a8fa30.png)"
11091,1,3,0,Externals,marswong,2017-11-11 02:07:39,0,0,0,0,
11085,250,2,0,Externals,lee-doppelganger,2017-11-10 20:42:55,45961,52818,1154,0,:wave:
11078,2,4,0,Externals,ssu2030,2017-11-10 08:09:49,1,1,1,0," Korean community existed in Slack, So fix it."
11045,1,3,0,Externals,minakawa-daiki,2017-11-07 11:13:16,1,1,1,0,"'current' is called '現在の(genzai-no)' in Japanese.
'減殺の' is called 'gensai-no'."
11023,1,7,0,Externals,ssu2030,2017-11-06 03:15:28,1,1,1,0,"Mostly spacing errors. Haven't look at full Korean translation, but will do.

Signed-off-by: Dongho Lee <ssu2030@naver.com>"
11021,1,4,0,Externals,ChangJoo-Park,2017-11-06 00:21:09,5,5,1,0,"I found old API instruction in electron documentation(KOREAN).

`--debug` is changed to `--inspect`, also --inspect-brk too."
11019,1,4,0,Externals,ssu2030,2017-11-05 14:19:38,3,3,1,0,"
1. Fix Mistranslation

- There was a mistranslation in the Core Philosophy part
  Philosophy has many meanings in Korea. It was used korea in the sense
   of like 'the philosophy of jung' = '철학'

- It seems to be right to modify the meaning of 'Ideology' = '이념'
  The '핵심' rather than the '중심' is more appropriate in Korean.

- '지원하지 않습니다.' more appropriate than '빠집니다'

2. Sentence Spacing

-  '그후에' should be changed to '그 후에'. It is a Korean grammar error

Signed-off-by: Dongho Lee <ssu2030@naver.com>"
11018,250,2,0,Externals,vincentwan100,2017-11-05 14:18:33,11157,5918,338,0,"In my project, I need to achieve a very special function: pull div content to external display, div content include text, image,  video..."
11002,3,4,0,Externals,ssu2030,2017-11-03 08:26:59,2,2,1,0,"#fix docs-translation/ko-KR/tutorial/about.md

## 1. Modify mistranslation

+    There was a mistranslation in the Core Philosophy part
       Philosophy has many meanings in Korea. It was used korea in the sense
+    of like 'the philosophy of jung' = '~~철학~~'
+    It seems to be right to modify the meaning of '_Ideology_' = '이념'
+    The '핵심' rather than the '~~중심~~' is more appropriate in Korean.
+
## 2. Sentence spacing

+   '~~그후에~~' should be changed to '그 후에'. It is a Korean grammar error"
10979,1,2,0,Externals,daluntw,2017-10-31 17:03:13,4,0,1,0,
10978,1,1,0,Externals,daluntw,2017-10-31 17:02:11,4,0,1,0,
10976,1,1,0,Externals,daluntw,2017-10-31 16:52:15,97,0,1,0,
10956,3,2,3,Externals,vadikcorp,2017-10-28 12:58:05,0,0,0,0,added quick-start.md in ukrainian
