pull_request,creator,creator_type,reviewer,reviewer_type,is_equal
11621,jkleinsc,Employees,codebytere,Volunteers,No
11597,zcbenz,Employees,zcbenz,Employees,Yes
11589,zcbenz,Employees,zcbenz,Employees,Yes
11584,TiagoDanin,Volunteers,codebytere,Volunteers,No
11574,deepak1556,Volunteers,zcbenz,Employees,No
11557,josimi,Volunteers,ckerr,Employees,No
11547,deepak1556,Volunteers,zcbenz,Employees,No
11546,zcbenz,Employees,zcbenz,Employees,Yes
11545,m1guelpf,Volunteers,lee-dohm,Employees,No
11538,TiagoDanin,Volunteers,zeke,Employees,No
11532,sethlu,Volunteers,zeke,Employees,No
11527,zcbenz,Employees,zcbenz,Employees,Yes
11526,zcbenz,Employees,zcbenz,Employees,Yes
11511,HayateLaTech,Volunteers,ckerr,Employees,No
11510,zcbenz,Employees,zcbenz,Employees,Yes
11507,codebytere,Volunteers,codebytere,Volunteers,Yes
11504,kylecorry31,Volunteers,ckerr,Employees,No
11499,deepak1556,Volunteers,zcbenz,Employees,No
11495,zcbenz,Employees,zcbenz,Employees,Yes
11493,zcbenz,Employees,zcbenz,Employees,Yes
11489,deepak1556,Volunteers,ckerr,Employees,No
11487,jkleinsc,Employees,jkleinsc,Employees,Yes
11482,MarshallOfSound,Volunteers,ckerr,Employees,No
11481,teiles,Volunteers,zeke,Employees,No
11476,ckerr,Employees,ckerr,Employees,Yes
11470,codebytere,Volunteers,zcbenz,Employees,No
11467,leo,Volunteers,ckerr,Employees,No
11466,ckerr,Employees,ckerr,Employees,Yes
11465,ckerr,Employees,codebytere,Volunteers,No
11448,TheDancingCode,Volunteers,codebytere,Volunteers,No
11431,felixrieseberg,Volunteers,ckerr,Employees,No
11428,TechnicalSoup,Volunteers,zeke,Employees,No
11427,jkleinsc,Employees,jkleinsc,Employees,Yes
11426,mikoto2000,Volunteers,ckerr,Employees,No
11422,codebytere,Volunteers,codebytere,Volunteers,Yes
11421,lurch,Volunteers,ckerr,Employees,No
11420,joeydlee95,Volunteers,zeke,Employees,No
11419,felixrieseberg,Volunteers,ckerr,Employees,No
11418,codebytere,Volunteers,ckerr,Employees,No
11415,alexeykuzmin,Volunteers,ckerr,Employees,No
11414,alexeykuzmin,Volunteers,ckerr,Employees,No
11409,felixrieseberg,Volunteers,codebytere,Volunteers,No
11406,xxczaki,Volunteers,ckerr,Employees,No
11396,deepak1556,Volunteers,zcbenz,Employees,No
11395,codebytere,Volunteers,ckerr,Employees,No
11385,felixrieseberg,Volunteers,ckerr,Employees,No
11380,cifratila,Volunteers,ckerr,Employees,No
11379,TiagoDanin,Volunteers,ckerr,Employees,No
11370,deepak1556,Volunteers,jkleinsc,Employees,No
11367,zeke,Employees,zeke,Employees,Yes
11365,jkleinsc,Employees,jkleinsc,Employees,Yes
11364,groundwater,Employees,zeke,Employees,No
11359,alespergl,Volunteers,ckerr,Employees,No
11356,simurai,Employees,jkleinsc,Employees,No
11355,zcbenz,Employees,zcbenz,Employees,Yes
11342,jkleinsc,Employees,zcbenz,Employees,No
11330,jkleinsc,Employees,jkleinsc,Employees,Yes
11329,felixrieseberg,Volunteers,ckerr,Employees,No
11327,MarshallOfSound,Volunteers,ckerr,Employees,No
11321,codebytere,Volunteers,codebytere,Volunteers,Yes
11317,alespergl,Volunteers,ckerr,Employees,No
11316,felixrieseberg,Volunteers,zcbenz,Employees,No
11315,insideGen,Volunteers,ckerr,Employees,No
11314,zeke,Employees,zeke,Employees,Yes
11312,codebytere,Volunteers,ckerr,Employees,No
11311,zeke,Employees,ckerr,Employees,No
11306,tarruda,Volunteers,ckerr,Employees,No
11302,deepak1556,Volunteers,zcbenz,Employees,No
11301,wlbentley,Volunteers,jkleinsc,Employees,No
11300,zcbenz,Employees,zcbenz,Employees,Yes
11297,jkleinsc,Employees,ckerr,Employees,No
11292,AdrienFery,Volunteers,zcbenz,Employees,No
11291,zcbenz,Employees,codebytere,Volunteers,No
11283,tarruda,Volunteers,zcbenz,Employees,No
11282,Toinane,Volunteers,ckerr,Employees,No
11279,sethlu,Volunteers,zcbenz,Employees,No
11272,matt-way,Volunteers,zcbenz,Employees,No
11271,deepak1556,Volunteers,jkleinsc,Employees,No
11268,alespergl,Volunteers,ckerr,Employees,No
11264,brenca,Volunteers,zcbenz,Employees,No
11257,alexeykuzmin,Volunteers,ckerr,Employees,No
11256,alexeykuzmin,Volunteers,zeke,Employees,No
11255,alexeykuzmin,Volunteers,zeke,Employees,No
11254,alexeykuzmin,Volunteers,jkleinsc,Employees,No
11253,alexeykuzmin,Volunteers,ckerr,Employees,No
11250,codebytere,Volunteers,zeke,Employees,No
11249,ckerr,Employees,ckerr,Employees,Yes
11247,ckerr,Employees,codebytere,Volunteers,No
11241,alexeykuzmin,Volunteers,zcbenz,Employees,No
11240,codebytere,Volunteers,codebytere,Volunteers,Yes
11238,deepak1556,Volunteers,zcbenz,Employees,No
11235,felixrieseberg,Volunteers,zcbenz,Employees,No
11233,brenca,Volunteers,zcbenz,Employees,No
11231,Toinane,Volunteers,ckerr,Employees,No
11229,codebytere,Volunteers,ckerr,Employees,No
11227,emmkimme,Volunteers,zcbenz,Employees,No
