pull_request,creator,creator_type,reviewer,reviewer_type,is_equal
2809,technoweenie,Volunteers,technoweenie,Volunteers,Yes
2806,technoweenie,Volunteers,technoweenie,Volunteers,Yes
2797,b4mboo,Employees,ttaylorr,Employees,No
2796,ttaylorr,Employees,ttaylorr,Employees,Yes
2795,ttaylorr,Employees,ttaylorr,Employees,Yes
2794,ttaylorr,Employees,ttaylorr,Employees,Yes
2793,ttaylorr,Employees,ttaylorr,Employees,Yes
2788,ttaylorr,Employees,ttaylorr,Employees,Yes
2786,ttaylorr,Employees,ttaylorr,Employees,Yes
2785,ttaylorr,Employees,ttaylorr,Employees,Yes
2784,ttaylorr,Employees,ttaylorr,Employees,Yes
2780,ttaylorr,Employees,ttaylorr,Employees,Yes
2779,ttaylorr,Employees,ttaylorr,Employees,Yes
2778,ttaylorr,Employees,ttaylorr,Employees,Yes
2773,technoweenie,Volunteers,ttaylorr,Employees,No
2770,sschuberth,Volunteers,ttaylorr,Employees,No
2769,ttaylorr,Employees,ttaylorr,Employees,Yes
2767,ttaylorr,Employees,ttaylorr,Employees,Yes
2764,ttaylorr,Employees,ttaylorr,Employees,Yes
2762,ttaylorr,Employees,ttaylorr,Employees,Yes
2759,ttaylorr,Employees,ttaylorr,Employees,Yes
2758,ttaylorr,Employees,ttaylorr,Employees,Yes
2757,ttaylorr,Employees,ttaylorr,Employees,Yes
2756,ttaylorr,Employees,ttaylorr,Employees,Yes
2755,ttaylorr,Employees,ttaylorr,Employees,Yes
2751,wsprent,Volunteers,ttaylorr,Employees,No
2750,ttaylorr,Employees,ttaylorr,Employees,Yes
2749,ttaylorr,Employees,ttaylorr,Employees,Yes
2747,ttaylorr,Employees,ttaylorr,Employees,Yes
2746,ttaylorr,Employees,ttaylorr,Employees,Yes
2739,ttaylorr,Employees,ttaylorr,Employees,Yes
2738,ttaylorr,Employees,ttaylorr,Employees,Yes
2737,technoweenie,Volunteers,technoweenie,Volunteers,Yes
2736,ttaylorr,Employees,ttaylorr,Employees,Yes
2735,technoweenie,Volunteers,ttaylorr,Employees,No
2734,ttaylorr,Employees,ttaylorr,Employees,Yes
2733,ttaylorr,Employees,ttaylorr,Employees,Yes
2732,ttaylorr,Employees,ttaylorr,Employees,Yes
2730,dpursehouse,Volunteers,ttaylorr,Employees,No
2722,technoweenie,Volunteers,ttaylorr,Employees,No
2719,bilke,Volunteers,technoweenie,Volunteers,No
2716,QuLogic,Volunteers,technoweenie,Volunteers,No
2715,technoweenie,Volunteers,technoweenie,Volunteers,Yes
2709,mathstuf,Volunteers,technoweenie,Volunteers,No
2708,mathstuf,Volunteers,ttaylorr,Employees,No
2706,technoweenie,Volunteers,technoweenie,Volunteers,Yes
2704,technoweenie,Volunteers,technoweenie,Volunteers,Yes
2700,technoweenie,Volunteers,technoweenie,Volunteers,Yes
2699,technoweenie,Volunteers,technoweenie,Volunteers,Yes
2698,technoweenie,Volunteers,technoweenie,Volunteers,Yes
2695,technoweenie,Volunteers,technoweenie,Volunteers,Yes
2692,technoweenie,Volunteers,technoweenie,Volunteers,Yes
2689,technoweenie,Volunteers,technoweenie,Volunteers,Yes
2687,technoweenie,Volunteers,technoweenie,Volunteers,Yes
2678,technoweenie,Volunteers,technoweenie,Volunteers,Yes
2676,technoweenie,Volunteers,technoweenie,Volunteers,Yes
2674,technoweenie,Volunteers,technoweenie,Volunteers,Yes
2673,technoweenie,Volunteers,technoweenie,Volunteers,Yes
