pull_request,creator,creator_type,reviewer,reviewer_type,is_equal
1396,jaythomas,Volunteers,mose,Volunteers,No
1395,Eliada,Volunteers,mose,Volunteers,No
1391,rodrigoaguilera,Volunteers,mose,Volunteers,No
1390,slawekzachcial,Volunteers,mose,Volunteers,No
1381,coryallegory,Volunteers,mose,Volunteers,No
1372,lornajane,Volunteers,mose,Volunteers,No
1364,gr2m,Volunteers,gr2m,Volunteers,Yes
1361,gr2m,Volunteers,gr2m,Volunteers,Yes
1360,gr2m,Volunteers,gr2m,Volunteers,Yes
1359,gr2m,Volunteers,gr2m,Volunteers,Yes
1358,gr2m,Volunteers,gr2m,Volunteers,Yes
1357,gr2m,Volunteers,gr2m,Volunteers,Yes
1353,technicalpickles,Employees,technicalpickles,Employees,Yes
1352,gr2m,Volunteers,gr2m,Volunteers,Yes
1350,espy,Volunteers,gr2m,Volunteers,No
1349,gr2m,Volunteers,gr2m,Volunteers,Yes
1348,gr2m,Volunteers,gr2m,Volunteers,Yes
1347,gr2m,Volunteers,gr2m,Volunteers,Yes
1345,gr2m,Volunteers,gr2m,Volunteers,Yes
1344,bkeepers,Employees,bkeepers,Employees,Yes
1343,bkeepers,Employees,bkeepers,Employees,Yes
1340,bkeepers,Employees,bkeepers,Employees,Yes
1337,bkeepers,Employees,bkeepers,Employees,Yes
1336,bkeepers,Employees,bkeepers,Employees,Yes
1335,bkeepers,Employees,bkeepers,Employees,Yes
1334,LindseyB,Employees,bkeepers,Employees,No
1332,mose,Volunteers,mose,Volunteers,Yes
1329,jbosse,Volunteers,mose,Volunteers,No
1328,technicalpickles,Employees,mose,Volunteers,No
1326,bkeepers,Employees,mose,Volunteers,No
1323,bkeepers,Employees,bkeepers,Employees,Yes
1321,bkeepers,Employees,bkeepers,Employees,Yes
1320,bkeepers,Employees,bkeepers,Employees,Yes
1317,Sirius-A,Volunteers,bkeepers,Employees,No
1312,bkeepers,Employees,bkeepers,Employees,Yes
1309,benbalter,Employees,benbalter,Employees,Yes
1290,maxkoryukov,Volunteers,bkeepers,Employees,No
1289,makii42,Volunteers,bkeepers,Employees,No
1286,mose,Volunteers,bkeepers,Employees,No
1272,Hbrinj,Volunteers,bkeepers,Employees,No
1255,ksatirli,Volunteers,bkeepers,Employees,No
1240,notpeter,Volunteers,bkeepers,Employees,No
1214,tas50,Volunteers,bkeepers,Employees,No
1209,denisvm,Volunteers,bkeepers,Employees,No
1189,ouadie-lahdioui,Volunteers,bhuga,Volunteers,No
1185,technicalpickles,Employees,technicalpickles,Employees,Yes
1166,MrSaints,Volunteers,technicalpickles,Employees,No
1161,twellspring,Volunteers,bkeepers,Employees,No
1151,pchaigno,Volunteers,bkeepers,Employees,No
1150,gasolin,Volunteers,bkeepers,Employees,No
1149,loafoe,Volunteers,technicalpickles,Employees,No
1148,akameco,Volunteers,technicalpickles,Employees,No
1147,KasperDeng,Volunteers,technicalpickles,Employees,No
1135,MonicaG,Volunteers,technicalpickles,Employees,No
1133,technicalpickles,Employees,technicalpickles,Employees,Yes
1130,pra85,Volunteers,technicalpickles,Employees,No
1123,xt0rted,Volunteers,technicalpickles,Employees,No
1122,shaunkawano,Volunteers,technicalpickles,Employees,No
1121,technicalpickles,Employees,technicalpickles,Employees,Yes
1120,technicalpickles,Employees,technicalpickles,Employees,Yes
1119,sgerrand,Volunteers,technicalpickles,Employees,No
1116,jackmawer,Volunteers,technicalpickles,Employees,No
1114,technicalpickles,Employees,technicalpickles,Employees,Yes
1111,technicalpickles,Employees,technicalpickles,Employees,Yes
1109,technicalpickles,Employees,technicalpickles,Employees,Yes
1106,gotchahn,Volunteers,bkeepers,Employees,No
1103,aqnouch,Volunteers,technicalpickles,Employees,No
1101,cycomachead,Volunteers,technicalpickles,Employees,No
1099,philnash,Volunteers,technicalpickles,Employees,No
1097,EllisV,Volunteers,technicalpickles,Employees,No
1095,kauffecup,Volunteers,technicalpickles,Employees,No
1094,mdelagrange,Volunteers,technicalpickles,Employees,No
1092,jbick,Volunteers,technicalpickles,Employees,No
1083,bhuga,Volunteers,bhuga,Volunteers,Yes
1081,bhuga,Volunteers,technicalpickles,Employees,No
1077,scboucher,Volunteers,michaelansel,Volunteers,No
1074,msabramo,Volunteers,michaelansel,Volunteers,No
1069,technicalpickles,Employees,bhuga,Volunteers,No
1068,scboucher,Volunteers,michaelansel,Volunteers,No
1052,technicalpickles,Employees,technicalpickles,Employees,Yes
1049,doque,Volunteers,michaelansel,Volunteers,No
1042,xuoe,Volunteers,technicalpickles,Employees,No
1041,davidkassa,Volunteers,technicalpickles,Employees,No
1039,danielcompton,Volunteers,technicalpickles,Employees,No
1038,bhuga,Volunteers,bhuga,Volunteers,Yes
1037,michaelansel,Volunteers,michaelansel,Volunteers,Yes
1035,technicalpickles,Employees,technicalpickles,Employees,Yes
1033,bkeepers,Employees,technicalpickles,Employees,No
1032,michaelansel,Volunteers,technicalpickles,Employees,No
1030,michaelansel,Volunteers,michaelansel,Volunteers,Yes
1028,michaelansel,Volunteers,michaelansel,Volunteers,Yes
1021,bhuga,Volunteers,bhuga,Volunteers,Yes
1020,bhuga,Volunteers,michaelansel,Volunteers,No
1019,bhuga,Volunteers,technicalpickles,Employees,No
1017,kristenmills,Volunteers,michaelansel,Volunteers,No
1016,michaelansel,Volunteers,michaelansel,Volunteers,Yes
1012,alininja,Volunteers,technicalpickles,Employees,No
1011,sdimkov,Volunteers,technicalpickles,Employees,No
1007,MyvarHD,Volunteers,michaelansel,Volunteers,No
1006,jennifersmith,Volunteers,michaelansel,Volunteers,No
1005,bkeepers,Employees,bkeepers,Employees,Yes
1004,sdimkov,Volunteers,technicalpickles,Employees,No
1003,sdimkov,Volunteers,technicalpickles,Employees,No
999,sdimkov,Volunteers,michaelansel,Volunteers,No
993,arcturial,Volunteers,michaelansel,Volunteers,No
991,jexe,Volunteers,michaelansel,Volunteers,No
986,michaelansel,Volunteers,technicalpickles,Employees,No
984,uugengiven,Volunteers,technicalpickles,Employees,No
982,bkeepers,Employees,technicalpickles,Employees,No
981,michaelansel,Volunteers,michaelansel,Volunteers,Yes
980,jasonkarns,Volunteers,michaelansel,Volunteers,No
978,jasonkarns,Volunteers,bkeepers,Employees,No
975,michaelansel,Volunteers,michaelansel,Volunteers,Yes
974,bhuga,Volunteers,bhuga,Volunteers,Yes
973,Sing-Li,Volunteers,bhuga,Volunteers,No
971,geoffreyanderson,Volunteers,michaelansel,Volunteers,No
970,bkeepers,Employees,technicalpickles,Employees,No
969,technicalpickles,Employees,technicalpickles,Employees,Yes
967,sdimkov,Volunteers,technicalpickles,Employees,No
966,gjtorikian,Employees,technicalpickles,Employees,No
964,technicalpickles,Employees,technicalpickles,Employees,Yes
962,bkeepers,Employees,bkeepers,Employees,Yes
961,bkeepers,Employees,bkeepers,Employees,Yes
959,bkeepers,Employees,bkeepers,Employees,Yes
956,bkeepers,Employees,bkeepers,Employees,Yes
955,praseodym,Volunteers,technicalpickles,Employees,No
951,pdehaan,Volunteers,bkeepers,Employees,No
947,pauliwang,Volunteers,technicalpickles,Employees,No
945,adamgross42,Volunteers,bkeepers,Employees,No
944,adamgross42,Volunteers,technicalpickles,Employees,No
942,adamgross42,Volunteers,technicalpickles,Employees,No
938,ta1kt0me,Volunteers,technicalpickles,Employees,No
935,jcbantuelle,Volunteers,technicalpickles,Employees,No
931,petedmarsh,Volunteers,technicalpickles,Employees,No
929,sdimkov,Volunteers,technicalpickles,Employees,No
927,sdimkov,Volunteers,technicalpickles,Employees,No
926,michaelansel,Volunteers,technicalpickles,Employees,No
918,ChrisLundquist,Volunteers,technicalpickles,Employees,No
915,technicalpickles,Employees,technicalpickles,Employees,Yes
914,technicalpickles,Employees,technicalpickles,Employees,Yes
908,keithduncan,Employees,technicalpickles,Employees,No
906,technicalpickles,Employees,technicalpickles,Employees,Yes
905,technicalpickles,Employees,technicalpickles,Employees,Yes
903,michaelansel,Volunteers,michaelansel,Volunteers,Yes
899,Taytay,Volunteers,technicalpickles,Employees,No
898,100ideas,Volunteers,technicalpickles,Employees,No
889,mcmahoniel,Volunteers,technicalpickles,Employees,No
888,geoffreyanderson,Volunteers,technicalpickles,Employees,No
887,technicalpickles,Employees,technicalpickles,Employees,Yes
886,technicalpickles,Employees,technicalpickles,Employees,Yes
885,technicalpickles,Employees,technicalpickles,Employees,Yes
884,michaelansel,Volunteers,michaelansel,Volunteers,Yes
883,leefaus,Employees,technicalpickles,Employees,No
882,technicalpickles,Employees,technicalpickles,Employees,Yes
881,technicalpickles,Employees,technicalpickles,Employees,Yes
