pull_request,number_of_commits,number_of_comments,number_of_reviews,user_type,user_login,closed_at,number_of_additions,number_of_deletions,number_of_files_changed,number_of_days,message
3970,9,0,0,Externals,oktapodia,2018-01-03 13:58:28,282,0,3,0,
3947,1,2,0,Externals,ferrall,2017-12-12 16:43:40,10,0,1,0,Adding Ox language and demonstrating pull request for my class
3942,4,5,0,Internals,kivikakk,2017-12-07 22:51:47,35,35,35,0,"* New grammars compiler (#3915)
* Add error output to the compiler (#3935)
* Vendor CSS files in font-awesome directory (#3932)
* Improve Prolog .pro heuristic to avoid false positives (#3931)
* Limit tokens to 32 characters or less (#3922, #3925)
* Add Carthage/Build to generated list so it doesn't show in PR diffs (#3920)
* Changed Carthage vendor regex to allow folder in any subdirectory (#3921)
* Add Cocoapods to generated list so it doesn't show in PR diffs (#3865)
* Unvendor `tools/` (#3919)
* Add PostCSS syntaxes support (#3916)
* Test Perl before Turing when running heuristics (#3880)
* Add YARA language (#3877) 
* Add the Common Workflow Language standard (#3902) 
* Fix failing edges on leading commas in args (#3905)
* Add BUILD.bazel to Python filenames (#3907) 
* Add color for LFE language. (#3895) 
* Update grammars."
3934,250,1,0,Externals,jwpezzuti3,2017-12-03 15:02:19,320687,87333,1935,0,"


"
3927,1,1,0,Externals,simsieg,2017-12-01 14:32:46,4,0,1,0,
3923,250,2,0,Externals,jsoref,2017-11-30 04:47:57,703,703,213,0,"I don't actually expect this to be taken. (And yes, I'm aware this includes spelling fixes to the `Apollo Guidance Computer` -- it shows the authors were humans.) 

I'm going to slowly use these changes as indications of other projects to scan/patch (I'm slowly doing this already).

---
Generated by https://github.com/jsoref/spelling `f`; to maintain your repo, please consider `fchurn`

---
If anyone else wants to try these scripts out on some of the source repositories, they're welcome to do so :-)"
3899,1,4,0,Internals,kivikakk,2017-11-09 23:23:08,202,8914,15,0,"Reverts github/linguist#3846.

It went belly up! Currently looking at results from fuzzing but until it's fixed this isn't stable.

/cc @lildude "
3896,1,1,0,Externals,yegortimoshenko,2017-11-08 15:00:45,0,0,0,0,See: https://github.com/yegortimoshenko/libsquashfs/search?l=objective-c
3894,250,1,0,Externals,BrianQMclaren,2017-11-04 21:10:09,325432,87329,1905,0,https://github.com/BrianQMclaren/book-club-react. I need help trying to solve this.
3887,2,0,0,Externals,1972859718,2017-11-02 14:57:22,0,0,0,0,
3886,1,0,0,Externals,1972859718,2017-11-02 09:35:10,0,0,0,0,测试
3873,1,1,0,Externals,noizhardware,2017-10-20 22:08:32,7,1,1,0,"I'd like to include .ulp files to be recognized as EAGLE Script files, for EagleCad"
3868,2,6,0,Externals,MarcianoPreciado,2017-10-18 20:39:42,2,2,1,0,Change arduino's purple color representation to it's signature blue.
3815,7,4,0,Externals,pmaddams,2017-09-08 14:34:54,0,0,0,0,"Some time ago, the Racket folks updated their logo as part of the rebranding from PLT Scheme. You can see the new logo here: https://github.com/racket/icons/blob/master/racket-logo.svg.

Racket is a great language and deserves a cool GitHub color to match their logo. Also, Haskell's color was recently changed from green to purple: https://github.com/github/linguist/pull/3728. We don't want people to think Haskell is the only functional programming game in town."
3810,1,1,0,Externals,DoctorWhoof,2017-09-04 20:42:23,185,0,1,0,This compiles with the most up to date Monkey2 release (V1.1.06).
3796,1,1,0,Externals,pho3nixf1re,2017-08-25 16:59:13,181,0,3,0,"The Node.js project has settled on the `.mjs` extension to identify
ES2015 modules. This extension is not being highlighted in projects that
use linguist.

## Reference

https://github.com/nodejs/node-eps/blob/master/002-es-modules.md#32-determining-if-source-is-an-es-module

## Usage on GitHub

https://github.com/search?utf8=%E2%9C%93&q=extension%3Amjs+NOT+nothack&type=Code"
