pull_request,number_of_commits,number_of_comments,number_of_reviews,user_type,user_login,merged_at,number_of_additions,number_of_deletions,number_of_files_changed,number_of_days
3989,1,0,0,Volunteers,pchaigno,2018-01-16T09:49:33Z,1,0,1,0
3984,3,0,0,Employees,lildude,2018-01-12T11:49:02Z,1,53,7,0
3977,1,0,0,Volunteers,pchaigno,2018-01-07T20:32:56Z,2,0,1,0
3973,11,27,0,Volunteers,oktapodia,2018-01-12T17:26:51Z,306,299,17,7
3972,6,8,15,Employees,lildude,2018-01-15T10:11:54Z,1725,34,33,11
3966,1,1,0,Volunteers,pchaigno,2018-01-01T20:57:14Z,4,4,2,0
3960,1,6,0,Volunteers,bbarker,2018-01-13T09:38:35Z,343,0,4,17
3955,11,4,13,Employees,lildude,2017-12-21T13:17:20Z,14589,7438,197,1
3948,2,13,2,Employees,kivikakk,2018-01-07T22:01:17Z,16,6,6,25
3946,1,0,4,Employees,kivikakk,2017-12-12T10:53:37Z,28,1,7,0
3945,2,0,0,Employees,kivikakk,2017-12-12T08:41:21Z,2,2,2,0
3943,2,0,0,Volunteers,egorzhdan,2018-01-11T08:48:50Z,4,1,2,33
3935,1,2,1,Employees,vmg,2017-12-04T18:20:39Z,185,90,8,0
3933,3,9,0,Volunteers,oldmud0,2018-01-11T10:48:20Z,2,12,5,39
3932,1,0,0,Volunteers,pchaigno,2017-12-02T14:24:06Z,1,0,1,0
3931,1,0,0,Volunteers,pchaigno,2017-12-02T14:08:20Z,1,1,1,0
3930,4,9,4,Employees,lildude,2017-12-11T12:37:21Z,55,52,4,9
3925,1,1,0,Employees,kivikakk,2017-12-01T08:33:51Z,1,1,1,0
3922,1,3,0,Employees,kivikakk,2017-12-01T02:42:00Z,18,7,1,0
3921,1,2,3,Volunteers,NachoSoto,2017-11-29T14:25:05Z,4,1,2,0
3920,1,1,4,Volunteers,NachoSoto,2017-11-29T14:26:24Z,23,0,3,0
3919,2,0,0,Employees,lildude,2017-11-28T10:52:02Z,0,4,2,0
3916,1,5,1,Volunteers,ai,2017-11-26T05:21:11Z,74,1,8,1
3915,15,15,3,Employees,vmg,2017-11-30T15:15:49Z,37141,36039,293,8
3907,1,7,2,Volunteers,jin,2017-11-15T10:04:36Z,1,0,1,0
3905,1,0,0,Employees,kivikakk,2017-11-16T00:44:52Z,5,6,2,1
3903,2,1,0,Employees,kivikakk,2017-11-13T07:17:39Z,2,1,2,0
3902,4,4,0,Volunteers,mr-c,2017-11-16T01:15:56Z,82,0,9,3
3900,3,1,0,Employees,kivikakk,2017-11-10T11:11:33Z,270,6335,8,0
3895,3,8,0,Volunteers,prertik,2017-11-14T07:35:12Z,2,2,3,7
3885,2,8,0,Volunteers,josh-padnick,2018-01-12T17:27:42Z,59,0,2,71
3883,1,2,2,Volunteers,pchaigno,2017-11-04T10:16:45Z,103,1,2,3
3882,2,0,0,Employees,kivikakk,2017-11-01T00:01:04Z,20,20,20,0
3880,5,10,0,Volunteers,Alhadis,2017-11-17T10:25:57Z,11589,6592,68,19
3879,2,0,0,Volunteers,sylveon,2017-10-31T16:26:45Z,2071,0,3,2
3877,5,0,0,Volunteers,wesdawg,2017-11-16T01:16:33Z,1211,304,88,20
3874,3,9,2,Volunteers,yuya-takeyama,2018-01-11T09:25:14Z,46,4,5,80
3871,1,34,0,Volunteers,ararslan,2017-11-09T08:39:37Z,36,35,8,19
3870,7,16,17,Volunteers,pditommaso,2018-01-09T11:48:00Z,841,48,16,80
3866,1,1,0,Volunteers,rkoeninger,2017-10-31T16:27:23Z,1,0,1,13
3865,4,38,8,Volunteers,freak4pc,2017-11-28T11:04:18Z,23,7,7,41
3864,1,8,0,Employees,kivikakk,2017-10-17T08:31:21Z,1,1,1,0
3863,1,3,0,Employees,kivikakk,2017-10-17T08:05:21Z,1,18,5,0
3862,1,0,0,Volunteers,pchaigno,2017-10-17T09:08:05Z,0,4,1,0
3861,1,1,0,Volunteers,pchaigno,2017-10-31T14:12:02Z,12,0,1,14
3860,2,1,0,Volunteers,tessarin,2017-10-23T09:16:57Z,11,3,2,6
3859,3,1,0,Employees,lildude,2017-10-15T08:52:28Z,50,48,49,0
3858,2,0,0,Volunteers,cjllanwarne,2017-10-14T16:12:47Z,156,0,10,1
3857,2,7,0,Volunteers,dcmoore-gd,2017-10-12T19:42:32Z,1,1,2,0
3856,1,4,0,Employees,lildude,2017-10-13T16:49:05Z,2,2,1,1
3853,1,1,0,Employees,lildude,2017-10-10T17:26:27Z,1,1,1,0
3846,17,5,3,Employees,kivikakk,2017-10-31T00:06:57Z,15064,6352,53,25
3844,14,8,20,Volunteers,codecat,2017-10-14T16:34:13Z,649,244,29,10
3822,1,2,0,Volunteers,nwhetsell,2017-09-17T12:27:25Z,3,3,1,3
3818,5,11,15,Volunteers,Shan1024,2017-09-17T12:29:13Z,338,10,18,6
3817,1,0,0,Volunteers,Alhadis,2017-09-17T12:29:50Z,229,0,2,7
3813,1,3,0,Volunteers,gdi2290,2017-09-07T08:38:42Z,1,0,1,0
3811,4,4,0,Volunteers,DoctorWhoof,2018-01-11T09:23:55Z,412,0,4,128
3809,1,3,0,Volunteers,DoctorWhoof,2017-09-07T08:39:53Z,1,0,1,3
3806,1,12,0,Volunteers,seppestas,2017-09-19T17:02:06Z,2,0,1,19
3804,5,8,0,Volunteers,menduz,2017-09-07T14:28:47Z,4956,93,54,8
3799,3,11,3,Volunteers,seppestas,2017-09-07T08:52:29Z,8,8,3,9
3793,4,4,0,Volunteers,Alhadis,2017-08-24T11:13:30Z,27,8,6,0
3791,3,2,1,Volunteers,mathewmariani,2017-09-07T08:53:26Z,60,45,11,14
3790,1,0,0,Employees,lildude,2017-08-24T09:17:13Z,6,1,2,1
3789,2,6,0,Volunteers,krk,2017-09-17T12:31:04Z,184,0,2,26
3785,1,2,0,Volunteers,AnthonyDGreen,2017-09-07T08:55:21Z,1093,0,1,19
3783,3,5,3,Volunteers,bmeck,2017-09-07T08:56:37Z,968,1,5,20
3782,1,26,0,Volunteers,adaedra,2017-09-21T08:52:11Z,48,12,6,34
3781,1,7,0,Volunteers,Hardmath123,2017-08-17T17:03:39Z,150,0,6,0
3780,5,0,2,Volunteers,rkoeninger,2017-09-07T08:58:31Z,5,3,5,21
3778,1,0,0,Employees,lildude,2017-08-16T09:08:33Z,1,1,1,0
3771,1,0,0,Volunteers,MarcianoPreciado,2017-09-07T08:59:20Z,1,1,1,26
3767,1,0,0,Volunteers,AbigailBuccaneer,2017-09-07T09:01:11Z,31,0,2,27
3765,1,3,0,Employees,lildude,2017-08-10T13:54:10Z,20,20,20,1
3752,2,1,0,Employees,jdennes,2017-08-02T12:07:45Z,9,3,2,0
3751,4,4,0,Volunteers,Alhadis,2017-08-16T12:48:52Z,5058,23,30,14
3744,4,1,6,Volunteers,Alhadis,2017-08-02T12:00:17Z,23230,16203,34,4
3743,5,10,9,Volunteers,Alhadis,2017-08-08T08:47:27Z,12653,109,67,11
3741,2,1,0,Volunteers,iWader,2017-08-09T10:25:27Z,2190,17,8,13
3735,5,13,6,Employees,kivikakk,2017-07-31T03:39:21Z,2098,16,6,5
3734,4,0,4,Volunteers,Alhadis,2017-08-02T11:58:41Z,2187,17,9,8
3732,1,2,0,Volunteers,pchaigno,2017-08-06T09:00:36Z,20,42,7,13
3731,4,3,0,Volunteers,Alhadis,2017-08-08T08:30:38Z,25781,23130,12,15
3730,1,6,0,Volunteers,pchaigno,2017-10-06T12:27:14Z,40,217,7,75
3728,1,6,0,Volunteers,Alhadis,2017-07-22T13:21:22Z,1,1,1,0
3725,3,9,0,Employees,lildude,2017-07-22T13:16:17Z,77,78,78,1
3723,1,0,0,Volunteers,yohny,2017-10-08T16:32:02Z,3,0,1,82
3714,1,0,0,Volunteers,Alhadis,2017-07-07T14:59:05Z,3,2,1,0
3710,1,1,0,Volunteers,smola,2017-07-10T08:41:37Z,68,1012,1,6
3709,1,1,1,Volunteers,smola,2017-07-22T13:20:16Z,4,1,1,18
3708,1,1,8,Volunteers,smola,2017-07-20T09:33:29Z,15,0,6,16
3707,1,2,0,Volunteers,smola,2017-07-10T09:03:12Z,177,1,2,6
3706,1,2,1,Volunteers,smola,2017-07-22T13:19:23Z,131,3,6,19
3704,1,0,0,Volunteers,Alhadis,2017-07-03T10:45:21Z,13,0,2,0
3702,1,0,0,Volunteers,thewilkybarkid,2017-07-03T16:39:40Z,17,0,2,3
3698,3,0,5,Volunteers,davidaylaian,2017-06-30T08:32:16Z,31,4,3,2
3696,1,3,8,Volunteers,am11,2017-09-07T09:04:10Z,261,0,9,71
3691,2,2,2,Volunteers,jrha,2017-07-03T16:49:16Z,646,1,23,10
3682,1,0,0,Volunteers,wcpines,2017-06-24T11:19:43Z,3,0,1,7
3672,1,1,0,Volunteers,Alhadis,2017-06-20T09:39:39Z,13,13,26,11
3669,4,7,4,Employees,lildude,2017-06-20T08:29:17Z,15,5,4,13
3662,33,2,20,Volunteers,MahmoudFayed,2017-06-24T15:22:01Z,105770,18639,365,20
3660,6,4,0,Volunteers,rkoeninger,2017-06-21T07:29:14Z,190,7,14,18
3652,1,2,0,Volunteers,tbodt,2017-06-30T16:11:51Z,25,0,1,32
3650,4,8,0,Volunteers,Alhadis,2017-05-30T08:02:04Z,1852,1,23,3
3648,7,22,0,Volunteers,MaickelHubner,2017-10-14T17:12:17Z,4269,4020,9,141
3643,2,1,2,Employees,lildude,2017-05-26T07:16:13Z,31,11,2,0
3642,1,0,0,Employees,lildude,2017-05-25T15:12:34Z,33,33,33,0
3640,2,2,0,Volunteers,lucky,2017-07-22T13:20:55Z,147,2,6,58
3639,1,1,0,Employees,lildude,2017-05-25T07:59:02Z,3,3,3,0
3634,5,1,0,Volunteers,mthadley,2017-05-25T08:15:32Z,70,2,9,3
3633,1,4,0,Volunteers,rkirsling,2017-05-20T16:41:47Z,13,13,6,1
