pull_request,creator,creator_type,reviewer,reviewer_type,is_equal
3989,pchaigno,Volunteers,vmg,Employees,No
3984,lildude,Employees,lildude,Employees,Yes
3977,pchaigno,Volunteers,pchaigno,Volunteers,Yes
3973,oktapodia,Volunteers,lildude,Employees,No
3972,lildude,Employees,lildude,Employees,Yes
3966,pchaigno,Volunteers,pchaigno,Volunteers,Yes
3960,bbarker,Volunteers,lildude,Employees,No
3955,lildude,Employees,lildude,Employees,Yes
3948,kivikakk,Employees,kivikakk,Employees,Yes
3946,kivikakk,Employees,kivikakk,Employees,Yes
3945,kivikakk,Employees,vmg,Employees,No
3943,egorzhdan,Volunteers,pchaigno,Volunteers,No
3935,vmg,Employees,vmg,Employees,Yes
3933,oldmud0,Volunteers,lildude,Employees,No
3932,pchaigno,Volunteers,pchaigno,Volunteers,Yes
3931,pchaigno,Volunteers,pchaigno,Volunteers,Yes
3930,lildude,Employees,lildude,Employees,Yes
3925,kivikakk,Employees,kivikakk,Employees,Yes
3922,kivikakk,Employees,kivikakk,Employees,Yes
3921,NachoSoto,Volunteers,lildude,Employees,No
3920,NachoSoto,Volunteers,lildude,Employees,No
3919,lildude,Employees,lildude,Employees,Yes
3916,ai,Volunteers,kivikakk,Employees,No
3915,vmg,Employees,vmg,Employees,Yes
3907,jin,Volunteers,lildude,Employees,No
3905,kivikakk,Employees,kivikakk,Employees,Yes
3903,kivikakk,Employees,kivikakk,Employees,Yes
3902,mr-c,Volunteers,kivikakk,Employees,No
3900,kivikakk,Employees,kivikakk,Employees,Yes
3895,prertik,Volunteers,lildude,Employees,No
3885,josh-padnick,Volunteers,lildude,Employees,No
3883,pchaigno,Volunteers,pchaigno,Volunteers,Yes
3882,kivikakk,Employees,kivikakk,Employees,Yes
3880,Alhadis,Volunteers,Alhadis,Volunteers,Yes
3879,sylveon,Volunteers,lildude,Employees,No
3877,wesdawg,Volunteers,kivikakk,Employees,No
3874,yuya-takeyama,Volunteers,lildude,Employees,No
3871,ararslan,Volunteers,Alhadis,Volunteers,No
3870,pditommaso,Volunteers,pchaigno,Volunteers,No
3866,rkoeninger,Volunteers,lildude,Employees,No
3865,freak4pc,Volunteers,lildude,Employees,No
3864,kivikakk,Employees,kivikakk,Employees,Yes
3863,kivikakk,Employees,kivikakk,Employees,Yes
3862,pchaigno,Volunteers,pchaigno,Volunteers,Yes
3861,pchaigno,Volunteers,pchaigno,Volunteers,Yes
3860,tessarin,Volunteers,lildude,Employees,No
3859,lildude,Employees,lildude,Employees,Yes
3858,cjllanwarne,Volunteers,lildude,Employees,No
3857,dcmoore-gd,Volunteers,gjtorikian,Employees,No
3856,lildude,Employees,lildude,Employees,Yes
3853,lildude,Employees,lildude,Employees,Yes
3846,kivikakk,Employees,kivikakk,Employees,Yes
3844,codecat,Volunteers,lildude,Employees,No
3822,nwhetsell,Volunteers,lildude,Employees,No
3818,Shan1024,Volunteers,lildude,Employees,No
3817,Alhadis,Volunteers,lildude,Employees,No
3813,gdi2290,Volunteers,lildude,Employees,No
3811,DoctorWhoof,Volunteers,lildude,Employees,No
3809,DoctorWhoof,Volunteers,lildude,Employees,No
3806,seppestas,Volunteers,lildude,Employees,No
3804,menduz,Volunteers,lildude,Employees,No
3799,seppestas,Volunteers,lildude,Employees,No
3793,Alhadis,Volunteers,Alhadis,Volunteers,Yes
3791,mathewmariani,Volunteers,lildude,Employees,No
3790,lildude,Employees,lildude,Employees,Yes
3789,krk,Volunteers,lildude,Employees,No
3785,AnthonyDGreen,Volunteers,lildude,Employees,No
3783,bmeck,Volunteers,lildude,Employees,No
3782,adaedra,Volunteers,lildude,Employees,No
3781,kach,Volunteers,lildude,Employees,No
3780,rkoeninger,Volunteers,lildude,Employees,No
3778,lildude,Employees,lildude,Employees,Yes
3771,MarcianoPreciado,Volunteers,lildude,Employees,No
3767,AbigailBuccaneer,Volunteers,lildude,Employees,No
3765,lildude,Employees,lildude,Employees,Yes
3752,jdennes,Employees,jdennes,Employees,Yes
3751,Alhadis,Volunteers,Alhadis,Volunteers,Yes
3744,Alhadis,Volunteers,Alhadis,Volunteers,Yes
3743,Alhadis,Volunteers,Alhadis,Volunteers,Yes
3741,iWader,Volunteers,lildude,Employees,No
3735,kivikakk,Employees,kivikakk,Employees,Yes
3734,Alhadis,Volunteers,Alhadis,Volunteers,Yes
3732,pchaigno,Volunteers,pchaigno,Volunteers,Yes
3731,Alhadis,Volunteers,Alhadis,Volunteers,Yes
3730,pchaigno,Volunteers,lildude,Employees,No
3728,Alhadis,Volunteers,lildude,Employees,No
3725,lildude,Employees,lildude,Employees,Yes
3723,yohny,Volunteers,lildude,Employees,No
3714,Alhadis,Volunteers,Alhadis,Volunteers,Yes
3710,smola,Volunteers,lildude,Employees,No
3709,smola,Volunteers,lildude,Employees,No
3708,smola,Volunteers,lildude,Employees,No
3707,smola,Volunteers,lildude,Employees,No
3706,smola,Volunteers,lildude,Employees,No
3704,Alhadis,Volunteers,Alhadis,Volunteers,Yes
3702,thewilkybarkid,Volunteers,pchaigno,Volunteers,No
3698,davidaylaian,Volunteers,lildude,Employees,No
3696,am11,Volunteers,lildude,Employees,No
3691,jrha,Volunteers,pchaigno,Volunteers,No
3682,wcpines,Volunteers,pchaigno,Volunteers,No
3672,Alhadis,Volunteers,Alhadis,Volunteers,Yes
3669,lildude,Employees,lildude,Employees,Yes
3662,MahmoudFayed,Volunteers,lildude,Employees,No
3660,rkoeninger,Volunteers,pchaigno,Volunteers,No
3652,tbodt,Volunteers,lildude,Employees,No
3650,Alhadis,Volunteers,Alhadis,Volunteers,Yes
3648,MaickelHubner,Volunteers,lildude,Employees,No
3643,lildude,Employees,lildude,Employees,Yes
3642,lildude,Employees,lildude,Employees,Yes
3640,lucky,Volunteers,lildude,Employees,No
3639,lildude,Employees,lildude,Employees,Yes
3634,mthadley,Volunteers,lildude,Employees,No
3633,rkirsling,Volunteers,lildude,Employees,No
3630,Alhadis,Volunteers,Alhadis,Volunteers,Yes
3629,lildude,Employees,lildude,Employees,Yes
3627,vmg,Employees,vmg,Employees,Yes
3626,rkoeninger,Volunteers,lildude,Employees,No
3625,rkoeninger,Volunteers,lildude,Employees,No
3616,lildude,Employees,lildude,Employees,Yes
3614,multiprecision,Volunteers,lildude,Employees,No
3611,SimenB,Volunteers,lildude,Employees,No
3608,sergeyklay,Volunteers,lildude,Employees,No
3604,lildude,Employees,lildude,Employees,Yes
3603,lildude,Employees,lildude,Employees,Yes
3597,lildude,Employees,lildude,Employees,Yes
3593,goodmind,Volunteers,lildude,Employees,No
3592,pchaigno,Volunteers,lildude,Employees,No
3588,jelder,Volunteers,lildude,Employees,No
3587,Alhadis,Volunteers,pchaigno,Volunteers,No
3586,Alhadis,Volunteers,lildude,Employees,No
3582,ngarnier,Volunteers,Alhadis,Volunteers,No
3580,MichaelGrafnetter,Volunteers,lildude,Employees,No
3579,cpojer,Volunteers,pchaigno,Volunteers,No
3578,binki,Volunteers,lildude,Employees,No
3575,stof,Volunteers,lildude,Employees,No
3574,thesave,Volunteers,lildude,Employees,No
3572,hnryjms,Volunteers,lildude,Employees,No
3564,pchaigno,Volunteers,lildude,Employees,No
3556,smola,Volunteers,lildude,Employees,No
3550,smola,Volunteers,Alhadis,Volunteers,No
3548,dmoisset,Volunteers,lildude,Employees,No
3541,kivikakk,Employees,kivikakk,Employees,Yes
3535,kivikakk,Employees,kivikakk,Employees,Yes
3534,kivikakk,Employees,kivikakk,Employees,Yes
3533,rafer,Employees,rafer,Employees,Yes
3530,javierhonduco,Volunteers,pchaigno,Volunteers,No
3525,rdwampler,Volunteers,kivikakk,Employees,No
3524,kivikakk,Employees,kivikakk,Employees,Yes
3523,kivikakk,Employees,kivikakk,Employees,Yes
3519,mlrawlings,Volunteers,lildude,Employees,No
3518,lildude,Employees,brandonblack,Volunteers,No
3517,fragmer,Volunteers,lildude,Employees,No
3512,liavt,Volunteers,brandonblack,Volunteers,No
3511,NN---,Volunteers,brandonblack,Volunteers,No
3510,pchaigno,Volunteers,brandonblack,Volunteers,No
3509,siegy22,Volunteers,brandonblack,Volunteers,No
3504,pchaigno,Volunteers,brandonblack,Volunteers,No
3502,pchaigno,Volunteers,brandonblack,Volunteers,No
3500,sandyarmstrong,Volunteers,lildude,Employees,No
3493,klpn,Volunteers,brandonblack,Volunteers,No
3491,tgjones,Volunteers,lildude,Employees,No
3490,tgjones,Volunteers,lildude,Employees,No
3489,brandonblack,Volunteers,brandonblack,Volunteers,Yes
3488,nwhetsell,Volunteers,brandonblack,Volunteers,No
3487,ararslan,Volunteers,brandonblack,Volunteers,No
3485,gjtorikian,Employees,gjtorikian,Employees,Yes
3479,brandonblack,Volunteers,brandonblack,Volunteers,Yes
3477,brandonblack,Volunteers,brandonblack,Volunteers,Yes
3476,Phineas,Volunteers,brandonblack,Volunteers,No
3475,pchaigno,Volunteers,brandonblack,Volunteers,No
3473,lildude,Employees,lildude,Employees,Yes
3471,lildude,Employees,lildude,Employees,Yes
3470,pchaigno,Volunteers,pchaigno,Volunteers,Yes
3469,tgjones,Volunteers,brandonblack,Volunteers,No
3466,jlec,Volunteers,lildude,Employees,No
3464,alloy,Volunteers,lildude,Employees,No
3463,TingPing,Volunteers,brandonblack,Volunteers,No
3459,softprops,Volunteers,brandonblack,Volunteers,No
3457,Dorian,Volunteers,lildude,Employees,No
3454,stoe,Employees,stoe,Employees,Yes
3452,larsbrinkhoff,Volunteers,brandonblack,Volunteers,No
3448,thezim,Volunteers,brandonblack,Volunteers,No
3447,fix-fix,Volunteers,brandonblack,Volunteers,No
3445,brandonblack,Volunteers,brandonblack,Volunteers,Yes
3444,brandonblack,Volunteers,brandonblack,Volunteers,Yes
3443,Alhadis,Volunteers,brandonblack,Volunteers,No
3441,Alhadis,Volunteers,brandonblack,Volunteers,No
3438,javierhonduco,Volunteers,brandonblack,Volunteers,No
3436,brandonblack,Volunteers,brandonblack,Volunteers,Yes
3434,pchaigno,Volunteers,brandonblack,Volunteers,No
3432,sunderls,Volunteers,brandonblack,Volunteers,No
3429,kivikakk,Employees,kivikakk,Employees,Yes
3427,brandonblack,Volunteers,brandonblack,Volunteers,Yes
3426,Alhadis,Volunteers,kivikakk,Employees,No
3424,kivikakk,Employees,kivikakk,Employees,Yes
3423,arfon,Volunteers,brandonblack,Volunteers,No
3421,brandonblack,Volunteers,brandonblack,Volunteers,Yes
3420,kivikakk,Employees,brandonblack,Volunteers,No
3416,zonuexe,Volunteers,brandonblack,Volunteers,No
3413,danilaml,Volunteers,brandonblack,Volunteers,No
3411,pchaigno,Volunteers,brandonblack,Volunteers,No
3409,pchaigno,Volunteers,brandonblack,Volunteers,No
3402,samcv,Volunteers,brandonblack,Volunteers,No
3396,astavale,Volunteers,brandonblack,Volunteers,No
3393,nwhetsell,Volunteers,brandonblack,Volunteers,No
3392,alexlouden,Volunteers,lildude,Employees,No
3388,brandonblack,Volunteers,brandonblack,Volunteers,Yes
3382,choofie,Volunteers,brandonblack,Volunteers,No
3377,samcv,Volunteers,pchaigno,Volunteers,No
3373,yutannihilation,Volunteers,brandonblack,Volunteers,No
3370,brandonblack,Volunteers,brandonblack,Volunteers,Yes
3368,Alhadis,Volunteers,brandonblack,Volunteers,No
3367,zonuexe,Volunteers,brandonblack,Volunteers,No
3361,pchaigno,Volunteers,brandonblack,Volunteers,No
3360,pchaigno,Volunteers,brandonblack,Volunteers,No
3359,pchaigno,Volunteers,brandonblack,Volunteers,No
3358,ykzts,Volunteers,brandonblack,Volunteers,No
3355,meganemura,Volunteers,brandonblack,Volunteers,No
3354,meganemura,Volunteers,brandonblack,Volunteers,No
